NPU,Movimento,Start,End
657922,A9,2016-09-13 10:18:00,2016-09-14 12:08:04
657922,A14,2016-09-14 12:08:05,2016-09-14 12:08:11
657922,A6,2016-09-14 12:08:12,2016-09-14 12:08:17
657922,A7,2016-09-14 12:08:18,2016-09-15 07:48:05
657922,A8,2016-09-15 11:25:36,2016-09-15 11:25:37
657922,A9,2016-09-19 12:18:35,2016-09-19 12:18:39
657922,A10,2016-09-19 12:18:41,2016-09-19 12:18:41
657821,A1,2016-06-01 09:40:10,2016-06-01 09:48:32
657821,A2,2016-06-01 09:48:35,2016-06-01 09:49:37
657821,A3,2016-06-01 09:49:38,2016-08-10 08:00:35
657821,A4,2016-08-10 08:00:36,2016-08-10 08:00:38
657821,A5,2016-08-10 08:00:39,2016-08-10 08:00:42
657821,A6,2016-08-10 08:00:43,2016-08-10 08:00:47
657821,A22,2016-08-10 08:11:47,2016-08-10 08:14:51
657821,A23,2016-08-10 12:33:09,2016-08-10 12:34:37
657821,A9,2016-08-10 12:55:00,2016-08-10 12:55:18
657821,A3,2016-08-10 12:55:19,2016-08-11 09:50:24
657821,A4,2016-08-11 09:50:25,2016-08-11 09:52:40
657821,A5,2016-08-11 09:53:49,2016-08-11 09:53:55
657821,A12,2016-08-11 09:53:56,2016-08-17 09:52:12
657821,A13,2016-08-17 09:52:14,2016-08-17 09:53:10
657821,A3,2016-08-17 09:53:16,2016-10-06 08:50:12
657821,A4,2016-10-06 08:50:13,2016-10-06 08:54:25
657821,A5,2016-10-06 08:54:27,2016-10-06 08:54:31
657821,A6,2016-10-06 08:54:32,2016-10-06 08:54:44
657821,A7,2016-10-10 07:46:40,2016-10-10 07:52:57
657821,A8,2016-10-13 11:26:00,2016-10-13 12:35:05
657821,A9,2016-10-13 12:42:31,2016-10-13 12:42:36
657821,A12,2016-10-13 12:42:38,2016-11-03 10:57:20
657821,A13,2016-11-03 10:57:22,2016-11-03 10:57:29
657821,A34,2016-11-03 10:57:30,2017-03-15 08:34:13
657821,A6,2017-03-15 08:34:15,2017-03-15 08:35:30
657821,A22,2017-03-15 08:35:31,2017-03-15 08:40:21
657821,A23,2017-03-15 14:04:51,2017-03-16 13:52:15
657821,A9,2017-03-17 08:50:46,2017-03-17 08:50:51
657821,A14,2017-03-17 08:50:52,2017-03-20 13:09:05
657821,A10,2017-03-20 13:09:08,2017-03-20 13:09:08
657911,A1,2016-06-01 09:59:04,2016-06-01 09:59:10
657911,A2,2016-06-01 09:59:11,2016-06-01 09:59:17
657911,A6,2016-06-01 09:59:17,2016-06-01 09:59:22
657911,A22,2016-08-09 10:20:18,2016-08-09 10:21:21
657911,A23,2016-08-09 11:59:23,2016-08-09 12:01:30
657911,A9,2016-08-09 12:01:32,2016-08-09 12:01:38
657911,A14,2016-08-09 12:01:38,2016-10-11 12:17:22
657911,A12,2016-10-11 12:17:23,2016-10-11 12:18:30
657911,A13,2016-10-11 12:18:31,2016-10-11 12:19:02
657911,A3,2016-10-11 12:19:03,2016-10-11 12:19:05
657911,A11,2016-10-11 12:19:06,2016-10-11 12:20:27
657911,A5,2016-10-11 12:20:28,2016-10-11 12:20:33
657911,A12,2016-10-11 12:20:34,2016-10-11 12:22:03
657911,A13,2016-10-11 12:22:05,2016-10-11 12:22:12
657911,A3,2016-10-11 12:22:12,2016-11-22 12:22:02
657911,A4,2016-11-22 12:22:03,2016-11-22 12:36:13
657911,A5,2016-11-22 12:36:14,2016-11-22 12:36:27
657911,A3,2016-11-22 12:36:28,2016-12-13 09:32:35
657911,A4,2016-12-13 09:32:36,2016-12-13 09:35:10
657911,A5,2016-12-13 09:35:11,2016-12-13 09:35:20
657911,A6,2016-12-13 09:35:21,2016-12-13 09:35:28
657911,A7,2017-01-04 10:14:47,2017-01-04 10:16:25
657911,A8,2017-01-05 11:58:37,2017-01-05 12:00:46
657911,A9,2017-01-05 12:00:48,2017-01-05 12:01:07
657911,A14,2017-01-05 12:01:07,2017-01-12 11:42:35
657911,A14,2017-01-12 11:42:01,2017-01-12 11:42:07
657911,A12,2017-01-12 11:42:36,2017-01-12 11:44:48
657911,A13,2017-01-12 11:44:50,2017-01-12 11:44:57
657911,A17,2017-01-12 11:44:58,2017-02-15 08:10:26
657911,A12,2017-02-15 08:10:27,2017-02-15 08:10:31
657911,A13,2017-02-15 08:10:32,2017-02-15 08:10:37
657911,A14,2017-02-15 08:10:38,2017-02-15 08:10:43
657911,A10,2017-02-15 08:10:44,2017-02-15 08:10:44
657209,A1,2016-06-01 10:01:21,2016-06-01 10:04:20
657209,A2,2016-06-01 10:04:21,2016-06-01 10:04:28
657209,A3,2016-06-01 10:04:29,2016-10-06 08:26:36
657209,A4,2016-10-06 08:26:37,2016-10-06 09:09:13
657209,A5,2016-10-06 09:09:14,2016-10-06 09:09:19
657209,A6,2016-10-06 09:09:21,2016-10-06 09:09:26
657209,A7,2016-10-06 09:09:27,2017-02-14 11:58:23
657209,A8,2017-02-14 12:08:34,2017-02-14 12:10:53
657209,A9,2017-02-14 12:10:55,2017-02-14 12:12:42
657209,A34,2017-02-14 12:12:43,2017-04-05 11:21:47
657209,A35,2017-04-05 11:21:49,2017-04-05 11:23:11
657209,A14,2017-04-05 11:23:36,2017-04-05 11:23:42
657209,A10,2017-04-05 11:23:45,2017-04-05 11:23:45
657945,A15,2016-06-01 10:08:33,2016-06-01 10:10:23
657945,A16,2016-06-01 11:16:59,2016-06-01 11:17:57
657945,A9,2016-06-01 11:17:59,2016-06-01 11:18:12
657945,A12,2016-06-01 11:18:14,2016-06-01 14:50:32
657945,A13,2016-06-01 14:50:34,2016-06-01 14:51:07
657945,A3,2016-06-01 14:51:07,2016-06-01 14:51:16
657945,A4,2016-06-01 14:51:16,2016-06-01 14:53:09
657945,A5,2016-06-01 14:53:10,2016-06-01 14:53:14
657945,A12,2016-06-01 14:53:15,2016-06-01 14:57:20
657945,A13,2016-06-01 14:57:23,2016-06-01 14:59:40
657945,A3,2016-06-01 14:59:41,2016-07-22 09:47:48
657945,A4,2016-07-22 09:47:48,2016-07-22 09:49:37
657945,A5,2016-07-22 09:49:38,2016-07-22 09:49:43
657945,A6,2016-07-22 09:49:44,2016-07-22 09:49:49
657945,A7,2016-07-22 09:49:51,2016-07-22 09:50:33
657945,A8,2016-07-22 09:54:25,2016-07-22 09:55:14
657945,A9,2016-07-22 09:55:16,2016-07-22 09:55:31
657945,A10,2016-07-22 09:55:32,2016-08-17 23:16:24
657945,A14,2016-08-17 23:16:25,2016-08-17 23:16:34
657945,A36,2016-08-17 23:16:35,2016-08-17 23:40:21
657945,A37,2016-08-17 23:40:22,2016-08-18 07:22:25
657945,A14,2016-08-18 08:33:16,2016-08-18 08:33:24
657945,A10,2016-08-18 08:33:25,2016-08-18 08:33:25
657846,A1,2016-06-01 10:32:20,2016-06-01 10:36:46
657846,A2,2016-06-01 10:36:48,2016-06-01 10:36:53
657846,A3,2016-06-01 10:36:54,2016-08-09 08:37:56
657846,A4,2016-08-09 08:37:57,2016-08-09 08:46:34
657846,A5,2016-08-09 08:46:36,2016-08-09 08:46:41
657846,A6,2016-08-09 08:46:42,2016-08-09 08:46:47
657846,A7,2016-08-10 08:10:12,2016-08-10 08:11:28
657846,A8,2016-09-02 09:35:38,2016-09-02 12:10:37
657846,A9,2016-09-02 12:11:24,2016-09-02 12:11:29
657846,A14,2016-09-02 12:11:30,2016-09-13 12:01:22
657846,A12,2016-09-13 12:01:24,2016-09-13 12:03:44
657846,A13,2016-09-13 12:03:46,2016-09-13 12:03:51
657846,A24,2016-09-13 12:03:52,2016-09-14 09:23:09
657846,A17,2016-09-14 09:23:10,2016-10-03 12:15:25
657846,A6,2016-10-03 12:15:26,2016-10-03 12:15:35
657846,A22,2016-10-06 10:55:51,2016-10-06 10:57:40
657846,A23,2016-10-06 11:58:15,2016-10-06 11:58:55
657846,A9,2016-10-06 11:59:00,2016-10-06 11:59:23
657846,A14,2016-10-06 11:59:24,2016-10-07 09:39:00
657846,A36,2016-10-07 09:39:01,2016-10-07 09:44:42
657846,A37,2016-10-07 09:44:43,2016-10-07 10:29:20
657846,A14,2016-10-07 10:29:22,2016-10-10 08:04:52
657846,A36,2016-10-10 08:04:53,2016-10-10 08:05:50
657846,A37,2016-10-10 08:05:51,2016-10-11 10:44:01
657846,A14,2016-10-11 10:44:03,2016-10-24 09:16:28
657846,A10,2016-10-24 09:16:29,2016-10-24 09:16:29
657830,A15,2016-06-01 10:49:14,2016-06-01 11:00:06
657830,A16,2016-06-01 17:57:37,2016-06-01 17:58:14
657830,A9,2016-06-01 17:58:16,2016-06-01 17:58:25
657830,A12,2016-06-01 17:58:26,2016-09-19 23:36:32
657830,A13,2016-09-19 23:36:34,2016-09-19 23:37:29
657830,A14,2016-09-19 23:37:30,2016-09-19 23:37:33
657830,A12,2016-09-19 23:37:35,2016-09-19 23:40:07
657830,A13,2016-09-19 23:40:10,2016-09-19 23:40:19
657830,A17,2016-09-19 23:40:20,2017-04-12 07:24:28
657830,A3,2017-04-12 07:24:30,2017-04-12 07:58:06
657830,A4,2017-04-12 07:58:07,2017-04-12 08:00:27
657830,A5,2017-04-12 08:00:28,2017-04-12 08:00:41
657830,A6,2017-04-12 08:00:42,2017-04-12 08:00:54
657830,A7,2017-04-12 08:28:46,2017-04-12 08:29:18
657830,A8,2017-04-12 08:50:27,2017-04-12 08:52:16
657830,A9,2017-04-18 15:48:04,2017-04-18 15:48:12
657830,A10,2017-04-18 15:48:15,2017-06-05 10:24:16
657830,A14,2017-06-05 10:24:18,2017-06-05 10:24:25
657830,A38,2017-06-05 10:24:26,2017-06-05 10:32:25
657830,A39,2017-06-05 10:39:33,2017-06-05 10:40:22
657830,A14,2017-06-05 10:40:23,2017-06-05 10:40:28
657830,A40,2017-06-05 10:40:29,2017-06-13 22:48:52
657830,A10,2017-06-13 22:48:55,2017-06-13 22:48:55
657122,A1,2016-06-01 11:07:49,2016-06-01 11:07:54
657122,A2,2016-06-01 11:07:55,2016-06-01 11:08:01
657122,A6,2016-06-01 11:08:02,2016-06-01 11:08:08
657122,A22,2016-06-01 11:08:09,2016-07-07 12:19:54
657122,A23,2016-07-07 13:06:39,2016-07-07 13:11:41
657122,A9,2016-07-07 13:11:43,2016-07-07 13:11:48
657122,A12,2016-07-07 13:11:49,2016-07-08 08:04:11
657122,A13,2016-07-08 08:04:12,2016-07-08 08:04:16
657122,A3,2016-07-08 08:04:17,2016-07-08 08:04:19
657122,A11,2016-07-08 08:04:19,2016-07-08 08:15:39
657122,A5,2016-07-08 08:15:40,2016-07-08 08:15:43
657122,A12,2016-07-08 08:15:44,2016-07-12 14:19:53
657122,A13,2016-07-12 14:19:55,2016-07-12 14:20:00
657122,A3,2016-07-12 14:20:00,2016-07-12 14:20:02
657122,A4,2016-07-12 14:20:03,2016-08-10 12:42:10
657122,A5,2016-08-10 12:42:11,2016-08-10 12:42:16
657122,A12,2016-08-10 12:42:17,2016-08-10 12:44:24
657122,A13,2016-08-10 12:44:28,2016-08-10 12:44:54
657122,A14,2016-08-10 12:44:56,2016-08-10 12:45:21
657122,A12,2016-08-10 12:45:25,2016-08-10 12:45:32
657122,A13,2016-08-10 12:45:36,2016-08-10 12:46:16
657122,A3,2016-08-10 12:46:20,2016-08-10 12:46:24
657122,A4,2016-08-10 12:46:27,2016-08-10 12:46:30
657122,A5,2016-08-10 12:46:35,2016-08-10 12:46:50
657122,A3,2016-08-10 12:46:53,2016-08-19 08:16:26
657122,A4,2016-08-19 08:16:29,2016-08-19 08:28:32
657122,A5,2016-08-19 08:28:37,2016-08-19 08:28:56
657122,A6,2016-08-19 08:28:59,2016-08-19 08:29:03
657122,A7,2016-08-19 08:29:07,2016-08-19 08:48:43
657122,A8,2016-08-21 12:32:41,2016-08-21 12:42:53
657122,A9,2016-08-21 15:09:57,2016-08-21 15:10:16
657122,A12,2016-08-21 15:10:20,2016-08-23 13:58:30
657122,A13,2016-08-23 13:58:34,2016-08-23 13:58:40
657122,A17,2016-08-23 13:58:43,2016-09-28 14:47:32
657122,A6,2016-09-28 14:47:34,2016-09-28 14:47:40
657122,A14,2016-09-28 14:47:43,2016-09-28 14:47:54
657122,A36,2016-09-28 14:47:59,2016-09-28 14:52:27
657122,A37,2016-09-28 14:52:31,2016-09-29 10:36:03
657122,A14,2016-09-29 10:36:10,2016-09-29 10:36:15
657122,A12,2016-09-29 10:36:20,2016-10-26 07:07:14
657122,A13,2016-10-26 07:07:15,2016-10-26 07:07:21
657122,A14,2016-10-26 07:07:22,2016-10-26 07:07:26
657122,A14,2016-11-09 10:59:48,2016-11-09 10:59:53
657122,A10,2016-11-09 10:59:54,2016-11-09 10:59:54
658020,A25,2016-06-01 11:10:33,2016-06-02 19:53:04
658020,A26,2016-06-02 19:53:05,2016-06-03 09:16:54
658020,A27,2016-06-06 12:40:06,2016-06-06 12:40:06
658020,A28,2016-06-09 07:43:22,2016-06-09 07:43:35
658020,A29,2016-06-09 07:43:36,2016-06-09 07:43:43
658020,A30,2016-06-09 07:43:43,2016-06-09 07:43:52
658020,A1,2016-06-09 07:44:20,2016-08-04 12:47:19
658020,A31,2016-08-04 12:47:21,2016-08-04 12:47:29
658020,A2,2016-08-04 12:47:30,2016-08-04 12:47:38
658020,A6,2016-08-04 12:47:39,2016-08-04 12:47:43
658020,A14,2016-08-04 12:47:44,2016-08-04 12:47:50
658020,A32,2016-08-04 12:47:50,2016-08-16 09:02:48
658020,A6,2016-08-16 09:02:48,2016-08-16 09:02:52
658020,A22,2016-08-16 09:02:53,2016-08-21 18:46:57
658020,A23,2016-08-22 09:19:27,2016-08-22 09:19:28
658020,A9,2016-08-22 19:56:11,2016-08-22 19:56:17
658020,A12,2016-08-22 19:56:18,2016-08-31 09:42:51
658020,A13,2016-08-31 09:42:54,2016-08-31 09:43:02
658020,A17,2016-08-31 09:43:02,2016-09-26 11:49:01
658020,A6,2016-09-26 11:49:02,2016-09-26 11:49:06
658020,A22,2016-09-26 11:49:08,2016-09-27 08:58:24
658020,A23,2016-09-27 12:26:11,2016-10-04 09:01:00
658020,A9,2016-10-04 12:35:49,2016-10-04 12:35:55
658020,A17,2016-10-04 12:35:55,2016-11-04 10:00:21
658020,A6,2016-11-04 10:00:21,2016-11-04 10:00:25
658020,A22,2016-11-04 10:00:26,2016-11-28 12:59:45
658020,A23,2016-11-29 10:41:48,2016-11-29 10:42:37
658020,A9,2016-11-29 21:50:48,2016-11-29 21:51:00
658020,A10,2016-11-29 21:51:02,2016-11-29 21:51:02
657862,A15,2016-06-01 11:23:09,2016-06-01 11:46:12
657862,A16,2016-06-02 13:11:10,2016-06-02 13:13:09
657862,A9,2016-06-02 13:13:11,2016-06-02 13:13:31
657862,A12,2016-06-02 13:13:32,2016-06-06 09:32:51
657862,A13,2016-06-06 09:32:52,2016-06-06 09:33:23
657862,A17,2016-06-06 09:33:23,2016-07-07 09:14:40
657862,A6,2016-07-07 09:14:41,2016-07-07 09:14:46
657862,A22,2016-07-07 09:14:47,2016-07-07 12:15:59
657862,A23,2016-07-07 13:04:09,2016-07-07 13:05:06
657862,A9,2016-07-07 13:05:08,2016-07-07 13:05:13
657862,A3,2016-07-07 13:05:13,2016-07-18 10:36:17
657862,A11,2016-07-18 10:36:18,2016-07-18 12:31:27
657862,A4,2016-07-18 12:31:28,2016-07-18 12:32:01
657862,A5,2016-07-18 12:32:02,2016-07-18 12:32:07
657862,A12,2016-07-18 12:32:08,2016-07-18 12:33:15
657862,A13,2016-07-18 12:33:17,2016-07-18 12:33:27
657862,A3,2016-07-18 12:33:28,2016-09-05 09:35:19
657862,A4,2016-09-05 09:35:20,2016-09-05 09:36:46
657862,A5,2016-09-05 09:36:47,2016-09-05 09:36:56
657862,A6,2016-09-05 09:36:57,2016-09-05 09:37:01
657862,A7,2016-10-13 10:42:11,2016-10-13 10:44:27
657862,A8,2016-10-13 17:50:53,2016-10-13 17:51:50
657862,A9,2016-10-14 08:44:10,2016-10-14 08:44:33
657862,A12,2016-10-14 08:44:34,2016-10-17 11:34:15
657862,A13,2016-10-17 11:34:17,2016-10-17 11:34:31
657862,A34,2016-10-17 11:34:32,2017-01-09 12:56:05
657862,A6,2017-01-09 12:56:06,2017-01-09 12:56:10
657862,A14,2017-01-09 12:56:11,2017-01-09 12:56:45
657862,A14,2017-01-09 12:57:04,2017-01-09 12:57:10
657862,A10,2017-01-09 12:57:11,2017-01-09 12:57:11
658048,A15,2016-06-01 11:56:43,2016-06-01 11:58:03
658048,A9,2016-06-01 11:58:10,2016-06-01 11:58:23
658048,A3,2016-06-01 11:58:24,2016-06-01 11:58:27
658048,A11,2016-06-01 11:58:27,2016-06-01 12:00:10
658048,A5,2016-06-01 12:00:11,2016-06-01 12:00:16
658048,A3,2016-06-01 12:00:17,2016-06-01 12:00:20
658048,A11,2016-06-01 12:00:21,2016-06-01 12:01:07
658048,A5,2016-06-01 12:01:08,2016-06-01 12:01:13
658048,A12,2016-06-01 12:01:14,2016-06-01 12:02:32
658048,A13,2016-06-01 12:02:34,2016-06-01 12:02:42
658048,A6,2016-06-01 12:02:42,2016-06-01 12:02:46
658048,A18,2016-06-01 12:02:47,2016-07-26 09:19:33
658048,A19,2016-07-26 09:38:57,2016-07-26 09:40:39
658048,A9,2016-07-26 09:40:41,2016-07-26 09:41:38
658048,A12,2016-07-26 09:41:40,2016-07-26 11:24:24
658048,A13,2016-07-26 11:24:26,2016-07-26 11:24:35
658048,A14,2016-07-26 11:24:36,2016-07-26 11:24:42
658048,A12,2016-07-26 11:24:43,2016-07-26 11:32:40
658048,A13,2016-07-26 11:32:42,2016-07-26 11:33:08
658048,A17,2016-07-26 11:33:09,2016-08-03 08:42:19
